Job Title,Min of Salary,Max of Salary,Average
Chief Engineering Officer,700000,1200000,918036.66
Chief Executive Officer,1000000,2000000,1275063.56
Chief Information Officer,500000,750000,693086.29
Chief Marketing Officer,500000,1000000,553399.53
Chief Operations Officer,600000,900000,693898.5
Division Manager,200000,400000,228082.41
Engineer Level 1,80000,130000,101326.8948
Engineer Level 2,82000,130000,103749.8748
Engineer Level 3,83000,130000,104010.3658
Engineer Level 4,85000,130000,103645.8798
Engineer Level 5,85000,130000,105148.96
Engineering Manager Level 1,130000,165000,143003.092
Engineering Manager Level 2,150000,175000,164438.888
Engineering Manager Level 3,150000,190000,168207.2913
HR Manager Level 1,75000,110000,89863.16686
HR Manager Level 2,80000,120000,103318.5352
HR Manager Level 3,90000,130000,114050.425
HR Specialist 1,30000,50000,36210.918
HR Specialist 2,30000,50000,37572.828
HR Specialist 3,32000,50000,37728.435
HR Specialist 4,34000,50000,38798.64767
HR Specialist 5,35000,50000,39646.81933
Lead Engineering Manager,200000,300000,252201.322
Lead HR Manager,150000,200000,189238.888
Lead Operations Manager,200000,300000,270103.17
Operations Associate Level 1,25000,36000,31073.76548
Operations Associate Level 10,30000,45000,40135.33656
Operations Associate Level 2,25500,37000,31905.26404
Operations Associate Level 3,26000,38000,33134.65153
Operations Associate Level 4,26500,39000,34023.33433
Operations Associate Level 5,27000,40000,34996.04183
Operations Associate Level 6,27500,41000,36005.32247
Operations Associate Level 7,28000,42000,36964.48286
Operations Associate Level 8,28500,43000,37903.33807
Operations Associate Level 9,29000,44000,38807.11256
Operations Lead Level 1,80000,110000,90826.2116
Operations Lead Level 2,81000,110500,91310.08383
Operations Lead Level 3,82000,112000,92374.7248
Operations Lead Level 4,83000,112500,94597.606
Operations Lead Level 5,84000,113000,94366.9248
Operations Manager Level 1,100000,120000,109067.6372
Operations Manager Level 2,100000,130000,111104.5127
Operations Manager Level 3,100000,140000,110392.09
Secretary Level 1,30000,42000,36726.80039
Secretary Level 2,31000,44000,38701.53086
Secretary Level 3,32000,46000,41200.97244
Secretary Level 4,33000,48000,42872.583
Secretary Level 5,34000,50000,44577.90964
Secretary Level 6,35000,52000,46633.68078
Secretary Level 7,36000,54000,48224.77585
Secretary Level 8,37000,56000,51294.456
,,,
,,, 
